Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,10.0,8.8,6.4,6.0,5.9,6.3,7.0,6.4,6.3,5.6,5.6,7.9
1991,8.6,6.7,6.6,6.5,8.4,11.4,10.8,8.6,7.2,6.5,6.2,6.4
1992,7.1,7.2,6.9,6.3,6.5,7.1,7.5,6.4,6.3,6.2,5.7,5.8
1993,6.1,8.9,5.8,5.5,5.5,6.3,6.4,8.0,5.6,5.3,5.3,5.4
1994,6.5,6.3,6.1,5.3,4.9,5.4,5.4,4.9,5.0,4.2,4.0,4.1
1995,5.1,4.8,4.7,4.5,4.4,4.8,5.0,4.2,3.9,3.5,3.4,3.5
1996,4.5,4.1,6.8,3.8,4.1,4.4,4.9,3.9,3.6,3.2,3.2,3.4
1997,4.2,3.8,3.7,3.0,3.1,3.4,3.8,3.3,3.3,2.8,2.9,3.4
1998,5.0,4.7,4.0,2.5,3.0,3.3,5.7,2.7,2.5,2.1,2.2,2.8
1999,3.2,3.2,3.0,2.7,2.7,3.2,3.1,2.5,2.4,2.2,2.3,2.7
2000,3.6,3.6,3.6,2.7,3.3,3.8,4.4,3.4,3.2,2.8,3.2,3.6
2001,4.4,4.4,4.8,4.3,4.2,4.9,5.3,4.4,4.3,4.3,4.6,5.1
2002,5.9,5.5,6.0,5.2,5.5,6.3,6.4,4.9,4.4,4.2,4.7,5.3
2003,6.1,6.2,6.3,5.8,6.5,7.4,7.9,6.5,6.2,6.9,5.6,5.9
2004,7.0,7.1,7.4,6.1,6.8,7.5,8.5,6.7,6.4,7.0,7.3,6.8
2005,7.2,7.5,7.2,6.5,7.4,8.1,8.7,7.0,7.2,6.5,7.0,7.0
2006,7.5,7.7,7.5,7.4,7.8,8.1,9.2,7.4,7.0,6.2,6.3,6.7
2007,8.0,7.0,6.8,6.6,6.8,7.6,9.2,6.9,6.7,6.2,6.1,6.9
2008,7.3,7.1,7.2,6.7,8.4,8.5,9.0,8.1,7.6,7.7,7.7,8.7
2009,12.1,12.1,12.5,11.4,13.2,14.6,15.2,13.3,12.6,12.4,12.3,12.6
2010,8.2,8.0,8.1,7.4,7.5,7.9,8.3,7.3,6.8,6.4,6.3,6.3
2011,6.6,6.4,6.5,5.9,6.4,7.3,7.7,6.6,6.1,5.6,5.3,5.4
2012,5.7,5.6,5.7,5.1,5.7,6.3,7.0,5.9,5.0,5.1,4.6,5.1
2013,6.1,5.7,5.4,5.3,5.7,6.3,6.8,5.7,5.0,5.0,4.4,4.4
2014,4.7,4.8,4.8,4.4,4.9,4.9,5.8,4.6,3.9,3.9,3.3,3.2
2015,4.1,3.6,3.5,3.1,3.7,3.9,4.1,3.2,2.7,2.7,2.5,2.5
2016,3.0,2.8,3.0,2.6,3.3,3.3,3.7,3.1,2.8,2.8,2.4,2.4
2017,3.1,3.1,2.7,2.1,2.5,3.2,3.9,3.4,,,,